Fecha;Despachados;Picados
6/07/2023;154344;163428
19/08/2022;170040;163500
5/11/2020;167480;163508
23/06/2021;146786;163576
4/11/2020;158576;163610
22/06/2023;174938;163704
18/04/2023;166074;163718
30/04/2020;170796;163747
7/11/2020;202321;163807
24/05/2022;166585;163906
11/06/2022;188336;163915
31/10/2022;166883;163917
27/05/2021;167703;163974
16/12/2020;162703;164063
14/10/2021;164029;164078
22/02/2023;184588;164121
25/05/2021;153849;164152
18/06/2020;142090;164262
14/06/2023;174138;164283
4/10/2021;162362;164656
14/01/2023;192702;164865
14/06/2021;154652;164905
7/05/2021;171773;164939
15/03/2022;154320;164988
5/01/2021;188029;165068
1/10/2022;187756;165117
6/09/2022;159227;165132
19/08/2021;172534;165205
11/01/2021;164021;165229
6/01/2022;154263;165248
2/06/2023;171759;165290
19/08/2023;191544;165328
18/01/2023;181196;165356
1/08/2022;145848;165398
18/05/2021;167021;165404
24/06/2021;157804;165440
4/12/2020;105105;165566
19/06/2020;168413;165573
4/01/2021;162947;165575
28/04/2020;198971;165736
9/08/2021;172056;165755
26/01/2021;136664;165766
13/05/2020;152535;165891
12/08/2021;177728;165897
20/09/2022;161017;166082
3/07/2023;172209;166118
27/04/2023;202264;166136
7/04/2022;217798;166195
5/06/2023;134041;166313
11/06/2020;179004;166363
10/08/2022;155430;166383
15/09/2021;156844;166386
3/06/2021;182626;166391
8/07/2020;169245;166396
27/05/2020;149088;166454
25/05/2022;171351;166597
27/04/2022;175039;166725
24/01/2022;171807;166729
26/01/2023;194041;166784
19/05/2021;173406;166794
16/06/2023;174482;166833
2/10/2020;154695;166842
22/06/2022;183509;166942
26/07/2022;176299;167059
24/03/2023;163265;167060
14/05/2022;185438;167150
20/04/2020;145802;167151
24/08/2022;169985;167155
28/01/2023;185640;167198
3/05/2022;164149;167208
24/10/2022;158997;167372
13/05/2021;171857;167462
2/07/2021;205010;167477
1/06/2022;175805;167487
11/01/2022;143536;167678
6/01/2023;156653;167689
19/07/2022;153844;167702
17/01/2022;138059;167769
3/03/2023;160080;167778
24/08/2023;160362;167825
9/09/2022;185674;167930
25/08/2022;173129;167933
20/06/2023;149065;168039
9/08/2022;155223;168152
18/08/2021;173481;168158
21/08/2023;182584;168308
11/08/2023;171135;168391
10/07/2023;148755;168473
21/08/2021;176650;168484
4/08/2022;164081;168504
20/05/2022;189500;168639
15/08/2022;159285;168684
7/05/2022;176861;168726
8/07/2021;167447;168775
18/10/2021;142582;168821
6/06/2023;186319;168847
21/07/2022;166233;168930
7/10/2021;154700;168943
4/06/2022;168610;168967
26/06/2023;157517;169044
